Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/BTS ticker,	Volume in BTS,	Trade count
BRIDGE.GRPH/BRIDGE.BTC,	116753871291,	733794,	0.01000010000024999,	83332.6403326403326403,	116.75503883263,	9
BRIDGE.BTC/BRIDGE.COLX,	174161,	174161042,	83332.6403326403326403,	0.00099999349967660891,	145.13295972973,	2
BRIDGE.SSX/BRIDGE.BTC,	34536724685,	1883417,	0.00050001000000049,	83332.6403326403326403,	1.7268707709764,	6
BRIDGE.BTC/BRIDGE.BWK,	21434871,	147640209457,	83332.6403326403326403,	1.4,	17862.243956195,	65
BRIDGE.XLR/BRIDGE.BTC,	989137,	1548,	12.04819930324058609,	82700.6731834797135248,	1.1917319714209,	1
BRIDGE.OLMP/BRIDGE.BTC,	1235080347610,	1079476,	0.00799995540094549,	82700.6731834797135248,	988.05876974643,	5
BRIDGE.BTC/BRIDGE.MANO,	457780,	6273500375,	82700.6731834797135248,	0.00066670000000036,	378.58714169933,	6
BRIDGE.STM/BRIDGE.BTC,	12195166432,	40076,	0,	82700.6731834797135248,	33.143121785011,	11
BRIDGE.BTC/BRIDGE.LABX,	107113973,	15915667754,	82700.6731834797135248,	0,	88583.976744571,	92
BRIDGE.GIN/BRIDGE.BTC,	487988941167,	84336320,	0.5100001000046956,	82700.6731834797135248,	2488.7440879636,	75
BRIDGE.DGB/BRIDGE.BTC,	662210880646,	1932737,	0.295999998414175,	82700.6731834797135248,	1960.1441962107,	10
BRIDGE.XRP/BRIDGE.BTC,	23841688566,	19171831,	5.00002000008000032,	82700.6731834797135248,	11920.891966568,	26
BRIDGE.BTC/BRIDGE.UFO,	46830,	1232387430,	82700.6731834797135248,	0.000200500000002807,	38.728725251824,	1
BRIDGE.BTC/BRIDGE.BCA,	5549513,	9078861613,	82700.6731834797135248,	0.07256894049346879,	4589.4846094047,	8
BRIDGE.CRAVE/BRIDGE.BTC,	750269462,	125295,	0.0781000000069509,	82700.6731834797135248,	58.596044987415,	3
BRIDGE.FDC/BRIDGE.BTC,	3711177053,	3752,	0,	82700.6731834797135248,	3.1029292578442,	1
BRIDGE.JEW/BRIDGE.BTC,	1343000000,	2686,	0.00408280000000483,	82700.6731834797135248,	0.54832004000065,	2
BRIDGE.BTC/BRIDGE.DACHX,	1616827,	144980187865,	82700.6731834797135248,	0,	1337.1268132123,	19
BRIDGE.BTC/BRIDGE.RCO,	467779,	468793159345,	82700.6731834797135248,	0.00071490000000014,	386.85638201095,	16
BRIDGE.BTC/ZILLIQA,	1530725,	1530725,	82700.6731834797135248,	0,	1265.9198795878,	32
BRIDGE.BTC/BRIDGE.NDB,	3094530,	92495302985,	82700.6731834797135248,	0.0018190000000003,	2559.1971418647,	8
BRIDGE.BTC/BRIDGE.FLN,	774991269,	387859785800,	82700.6731834797135248,	0,	640922.99657619,	222
BRIDGE.REA/BRIDGE.BTC,	41210000000,	41210,	0,	82700.6731834797135248,	34.080947418912,	1
BRIDGE.COTN/BRIDGE.BTC,	5349677419,	16584,	0,	82700.6731834797135248,	13.715079640748,	2
BRIDGE.AEG/BRIDGE.BTC,	772382317973,	4188353,	0.00082786412329826,	82700.6731834797135248,	63.94276105198,	8
